dataset,model,strategy,best_threshold_from_val,test_roc_auc,test_pr_auc,test_recall,test_precision,test_f1,test_accuracy,test_expected_cost,test_tn,test_fp,test_fn,test_tp,test_expected_cost_at_0_5
creditcard,xgboost,class_weight,0.06,0.9707242482685212,0.8273107206136388,0.8181818181818182,0.7714285714285715,0.7941176470588235,0.9992626663389628,9240.0,56839.0,24.0,18.0,81.0,11080.0
creditcard,extra_trees,oversample,0.45,0.9697811699464796,0.7920127687149913,0.8181818181818182,0.7105263157894737,0.7605633802816901,0.9991046662687406,9330.0,56830.0,33.0,18.0,81.0,10670.0
creditcard,random_forest,class_weight,0.17,0.9574362409597976,0.786326110970789,0.8181818181818182,0.6639344262295082,0.7330316742081447,0.9989642217618764,9410.0,56822.0,41.0,18.0,81.0,13600.0
creditcard,extra_trees,smote,0.52,0.9629106782791956,0.7886510672098497,0.8181818181818182,0.6585365853658537,0.7297297297297297,0.9989466661985184,9420.0,56821.0,42.0,18.0,81.0,9590.0
creditcard,random_forest,undersample,0.8400000000000001,0.9767422568189325,0.6851782779450403,0.8181818181818182,0.6532258064516129,0.726457399103139,0.9989291106351604,9430.0,56820.0,43.0,18.0,81.0,21240.0
creditcard,xgboost,baseline,0.01,0.9746118483962072,0.8211413771031476,0.8181818181818182,0.6377952755905512,0.7168141592920354,0.9988764439450862,9460.0,56817.0,46.0,18.0,81.0,13530.0
creditcard,extra_trees,baseline,0.02,0.973509784370977,0.7954733409596603,0.8181818181818182,0.5586206896551724,0.6639344262295082,0.9985604438046416,9640.0,56799.0,64.0,18.0,81.0,18550.0
creditcard,random_forest,baseline,0.02,0.9725267375760668,0.8061698965475275,0.8282828282828283,0.4141414141414141,0.5521885521885522,0.9976651100733822,9660.0,56747.0,116.0,17.0,82.0,14540.0
creditcard,extra_trees,class_weight,0.48,0.9729550219675608,0.7923774525831967,0.8080808080808081,0.7766990291262136,0.7920792079207921,0.9992626663389628,9730.0,56840.0,23.0,19.0,80.0,10680.0
creditcard,xgboost,adasyn,0.11,0.9660417196248932,0.7914703484097934,0.8383838383838383,0.3192307692307692,0.4623955431754875,0.9966117762719006,9770.0,56686.0,177.0,16.0,83.0,10460.0
creditcard,random_forest,oversample,0.18,0.9644674058880132,0.7784875295716019,0.8181818181818182,0.4879518072289157,0.6113207547169811,0.9981917769741232,9850.0,56778.0,85.0,18.0,81.0,11600.0
creditcard,xgboost,oversample,0.01,0.9709882178271112,0.8176770237414219,0.8181818181818182,0.4602272727272727,0.5890909090909091,0.9980162213405428,9950.0,56768.0,95.0,18.0,81.0,11070.0
creditcard,logreg,baseline,0.02,0.9639036727829088,0.7091295173705595,0.8080808080808081,0.6349206349206349,0.7111111111111111,0.9988588883817282,9960.0,56817.0,46.0,19.0,80.0,23610.0
creditcard,extra_trees,undersample,0.74,0.9736115707485492,0.6664264495125602,0.8080808080808081,0.6349206349206349,0.7111111111111111,0.9988588883817282,9960.0,56817.0,46.0,19.0,80.0,16010.0
creditcard,random_forest,smote,0.39,0.974914010051094,0.7661410254668336,0.8181818181818182,0.4308510638297872,0.5644599303135889,0.9978055545802464,10070.0,56756.0,107.0,18.0,81.0,11040.0
creditcard,extra_trees,adasyn,0.66,0.9637104030118822,0.7708749560590938,0.8080808080808081,0.4938271604938271,0.6130268199233716,0.9982268881008391,10320.0,56781.0,82.0,19.0,80.0,16340.0
creditcard,logreg,class_weight,0.98,0.9747276681486976,0.6807113141715643,0.8080808080808081,0.4545454545454545,0.5818181818181818,0.9979811102138268,10460.0,56767.0,96.0,19.0,80.0,19030.0
creditcard,logreg,oversample,0.98,0.9744441584478164,0.683510783789476,0.8080808080808081,0.4519774011299435,0.5797101449275363,0.9979635546504688,10470.0,56766.0,97.0,19.0,80.0,18990.0
creditcard,logreg,smote,0.99,0.9718105025422614,0.6750160720085014,0.8080808080808081,0.427807486631016,0.5594405594405595,0.9977879990168884,10570.0,56756.0,107.0,19.0,80.0,20690.0
creditcard,xgboost,smote,0.31,0.9614556482291212,0.79759027204114,0.797979797979798,0.5642857142857143,0.6610878661087866,0.9985779993679996,10610.0,56802.0,61.0,20.0,79.0,10850.0
creditcard,random_forest,adasyn,0.67,0.9676269580776904,0.7123885056094127,0.8080808080808081,0.3980099502487562,0.5333333333333333,0.997542221129876,10710.0,56742.0,121.0,19.0,80.0,12820.0
creditcard,xgboost,undersample,0.99,0.971539782752698,0.6477368860013364,0.8181818181818182,0.2977941176470588,0.4366576819407008,0.996330887258172,10910.0,56672.0,191.0,18.0,81.0,26780.0
creditcard,logreg,adasyn,0.99,0.9688201502210612,0.6912842102989804,0.8282828282828283,0.1826280623608017,0.2992700729927007,0.9932586636705172,12170.0,56496.0,367.0,17.0,82.0,43830.0
creditcard,decision_tree,oversample,0.96,0.8751358261936318,0.59475203338115,0.7676767676767676,0.3707317073170731,0.5,0.9973315543695798,12790.0,56734.0,129.0,23.0,76.0,15790.0
creditcard,decision_tree,class_weight,0.91,0.8751487049237783,0.6012416996299813,0.7777777777777778,0.2972972972972973,0.4301675977653631,0.9964186650749622,12820.0,56681.0,182.0,22.0,77.0,15780.0
creditcard,logreg,undersample,0.99,0.9704075203257448,0.3829598565352297,0.797979797979798,0.2041343669250646,0.3251028806584362,0.9942417752185668,13080.0,56555.0,308.0,20.0,79.0,29540.0
creditcard,decision_tree,smote,0.98,0.8627088286093263,0.4191487590790018,0.7373737373737373,0.4506172839506173,0.5593869731800766,0.9979811102138268,13890.0,56774.0,89.0,26.0,73.0,19710.0
creditcard,decision_tree,baseline,0.11,0.830495038846691,0.6230314167974597,0.696969696969697,0.8846153846153846,0.7796610169491526,0.9993153330290367,15090.0,56854.0,9.0,30.0,69.0,15090.0
creditcard,decision_tree,adasyn,0.95,0.8984393110714269,0.0747349111483552,0.7676767676767676,0.0878612716763005,0.1576763485477178,0.9857448825532812,19390.0,56074.0,789.0,23.0,76.0,36980.0
creditcard,decision_tree,undersample,0.01,0.8916684741298285,0.0130374826619994,0.8888888888888888,0.0144499178981937,0.0284375504928098,0.8944383975281767,65520.0,50861.0,6002.0,11.0,88.0,65520.0
paysim,xgboost,smote,0.87,0.9998298238927592,0.9611601369881736,0.9866017052375152,0.4936014625228519,0.6580016246953696,0.9986766457842838,27620.0,1269220.0,1662.0,22.0,1620.0,49740.0
paysim,xgboost,oversample,0.79,0.9999109281928656,0.9613927251304164,0.9866017052375152,0.4835820895522388,0.6490384615384616,0.998623208678186,28300.0,1269152.0,1730.0,22.0,1620.0,36990.0
paysim,xgboost,adasyn,0.94,0.9997856845315828,0.9573707810175756,0.9835566382460414,0.4950950337216431,0.6586460032626428,0.9986845041822394,29970.0,1269235.0,1647.0,27.0,1615.0,69450.0
paysim,xgboost,class_weight,0.79,0.9998996905888262,0.9589589388852866,0.9817295980511572,0.513049013367282,0.6739130434782609,0.9987740899189328,30300.0,1269352.0,1530.0,30.0,1612.0,37180.0
paysim,xgboost,baseline,0.03,0.9998801943605352,0.9605869542374824,0.9817295980511572,0.5053291536050156,0.6672185430463576,0.998736369608746,30780.0,1269304.0,1578.0,30.0,1612.0,139610.0
paysim,xgboost,undersample,0.92,0.9997058501255388,0.9004498104090493,0.9841656516443362,0.2761449077238551,0.4312783560181478,0.9966507507913408,55360.0,1266646.0,4236.0,26.0,1616.0,127970.0
paysim,random_forest,smote,0.78,0.9995281507345888,0.9124828903049796,0.9549330085261876,0.3425824776054184,0.5042611352307445,0.9975772559103012,67090.0,1267873.0,3009.0,74.0,1568.0,160880.0
paysim,random_forest,adasyn,0.85,0.9993769765553654,0.8965080470854232,0.9707673568818516,0.2592713077423552,0.4092426187419768,0.9963835652608516,69540.0,1266328.0,4554.0,48.0,1594.0,255510.0
paysim,random_forest,oversample,0.74,0.9994381684373722,0.8956361113704826,0.9445797807551766,0.3261143818334735,0.4848390121913097,0.9974098720338476,77550.0,1267677.0,3205.0,91.0,1551.0,149600.0
paysim,random_forest,undersample,0.81,0.9995048347608002,0.8948777757658781,0.9445797807551766,0.2857406042741341,0.4387553041018388,0.996881787691234,84270.0,1267005.0,3877.0,91.0,1551.0,216790.0
paysim,random_forest,class_weight,0.68,0.9993800863582016,0.8917773767750825,0.9421437271619976,0.2755610972568578,0.4264057331863286,0.9967293347708964,88170.0,1266815.0,4067.0,95.0,1547.0,130850.0
paysim,random_forest,baseline,0.01,0.9985594808152466,0.868835859797462,0.912911084043849,0.3075502667213787,0.460098219766728,0.9972354155992342,105250.0,1267507.0,3375.0,143.0,1499.0,221070.0
paysim,decision_tree,smote,0.92,0.9979611870000548,0.6281095210004609,0.93605359317905,0.178617083091226,0.2999902410461598,0.9943631711464774,123180.0,1263814.0,7068.0,105.0,1537.0,181750.0
paysim,decision_tree,oversample,0.9,0.99625825594789,0.664492903352046,0.92326431181486,0.1826946252108942,0.3050301810865191,0.9945714186922996,130820.0,1264100.0,6782.0,126.0,1516.0,267250.0
paysim,decision_tree,class_weight,0.94,0.9962550162804156,0.6631059378654163,0.9214372716199756,0.1841304612388949,0.3069276802921188,0.9946303566769664,131540.0,1264178.0,6704.0,129.0,1513.0,268270.0
paysim,decision_tree,adasyn,0.97,0.9976454757620342,0.5983055047853527,0.9671132764920828,0.1194973286176536,0.2127118076485165,0.9907624532032402,144010.0,1259181.0,11701.0,54.0,1588.0,178220.0
paysim,decision_tree,undersample,0.95,0.9947520930638326,0.1723760855458474,0.8574908647990256,0.1707080504364694,0.284732052578362,0.9944409692862374,185400.0,1264042.0,6840.0,234.0,1408.0,286380.0
paysim,logreg,adasyn,0.91,0.990022514713764,0.644301727904229,0.8447015834348356,0.141156116425809,0.2418904778514126,0.9931679088174368,211890.0,1262443.0,8439.0,255.0,1387.0,904390.0
paysim,decision_tree,baseline,0.01,0.919493979092974,0.7227655086539074,0.7594397076735688,0.3286768581971534,0.4587932303164091,0.9976880593214744,222970.0,1268335.0,2547.0,395.0,1247.0,249720.0
paysim,extra_trees,undersample,0.72,0.9875856642021604,0.6867697550481662,0.7643118148599269,0.1785714285714285,0.2895040369088812,0.9951592268593756,251230.0,1265109.0,5773.0,387.0,1255.0,779760.0
paysim,extra_trees,oversample,0.79,0.9757407314107908,0.568893624120118,0.6802679658952497,0.3272780544975095,0.4419386745796241,0.9977831459367368,285460.0,1268586.0,2296.0,525.0,1117.0,1154010.0
paysim,logreg,smote,0.93,0.9894339645800688,0.5892182691804619,0.741169305724726,0.1391811527904849,0.2343539379934527,0.9937510019457392,287770.0,1263355.0,7527.0,425.0,1217.0,678180.0
paysim,logreg,class_weight,0.9,0.9889452094306508,0.5838788192223695,0.7527405602923264,0.1239594824992478,0.21286489279256,0.9928166384288234,290350.0,1262147.0,8735.0,406.0,1236.0,693910.0
paysim,logreg,oversample,0.91,0.9890230050577188,0.5838571161211092,0.7466504263093788,0.1264178181068261,0.2162257495590828,0.9930154558970988,292720.0,1262410.0,8472.0,416.0,1226.0,689830.0
paysim,extra_trees,smote,0.8,0.9742687476056148,0.5705414045487291,0.6650426309378806,0.3696682464454976,0.4751958224543081,0.9981045544131192,293620.0,1269020.0,1862.0,550.0,1092.0,1165210.0
paysim,extra_trees,class_weight,0.78,0.9722293559652622,0.5725399272631522,0.6869671132764921,0.217215482380127,0.3300658376005852,0.9964016395761496,297650.0,1266817.0,4065.0,514.0,1128.0,1197950.0
paysim,logreg,undersample,0.8300000000000001,0.975828740100953,0.5710879520796865,0.6686967113276492,0.2054640718562874,0.3143429716576009,0.9962358273792872,314460.0,1266636.0,4246.0,544.0,1098.0,937330.0
paysim,extra_trees,baseline,0.01,0.9751601260218716,0.5731140981823168,0.7521315468940317,0.092350257982502,0.1645021645021645,0.990141639764751,324880.0,1258744.0,12138.0,407.0,1235.0,677020.0
paysim,logreg,baseline,0.02,0.9614818929370968,0.5591125529974853,0.6516443361753959,0.1936301121968874,0.2985491071428571,0.9960487975079448,330560.0,1266426.0,4456.0,572.0,1070.0,543590.0
paysim,extra_trees,adasyn,0.77,0.9834261940091704,0.2849073465444303,0.6017052375152253,0.067224603660611,0.1209376338821225,0.9887129830164304,464090.0,1257173.0,13709.0,654.0,988.0,4960700.0
